,Model,Threshold,Coverage,Precision,Recall,F1 score,ROC AUC
0,random_forest_model_v2,0.5,0.4727731030136783,0.5455543358946213,0.5081057397400321,0.5261645493042952,0.5373888407707988
1,random_forest_model_v2,0.52,0.3722430218334136,0.5519816769567815,0.40477581422520814,0.46705426356589147,0.5373888407707988
2,random_forest_model_v2,0.54,0.2860214256588946,0.5541731467081389,0.31225354169709363,0.3994395142456796,0.5373888407707988
3,random_forest_model_v2,0.56,0.2134410794380398,0.5564432094477249,0.23397108222579233,0.32942628007402835,0.5373888407707988
4,random_forest_model_v2,0.58,0.15168476850650553,0.5596285434995112,0.16722652256462683,0.25750590351962216,0.5373888407707988
5,random_forest_model_v2,0.6,0.10119731623234607,0.5655677655677656,0.11275010953702351,0.1880175353141744,0.5373888407707988
6,random_forest_model_v2,0.62,0.06398042777180561,0.5567786790266512,0.07017671973126917,0.12464332036316474,0.5373888407707988
7,random_forest_model_v2,0.64,0.03721688846054046,0.5537848605577689,0.040601723382503285,0.07565655191182473,0.5373888407707988
8,random_forest_model_v2,0.66,0.018645512844274754,0.532803180914513,0.019570614867825326,0.03775445516658449,0.5373888407707988
9,random_forest_model_v2,0.68,0.008006820624976832,0.5185185185185185,0.008178764422374763,0.01610352264557872,0.5373888407707988
0,xgb_classifier_model_v2,0.5,0.40504874522741596,0.5673103322046308,0.4526800058419746,0.5035538767718615,0.5518880445582175
1,xgb_classifier_model_v2,0.52,0.32768654779997775,0.5634615384615385,0.36373594274864907,0.442087512203781,0.5518880445582175
2,xgb_classifier_model_v2,0.54,0.25907254327760687,0.5550150236085277,0.2832627428070688,0.37509065416042164,0.5518880445582175
3,xgb_classifier_model_v2,0.56,0.20721355228528004,0.5509838998211091,0.22491602161530597,0.3194358017008919,0.5518880445582175
4,xgb_classifier_model_v2,0.58,0.15913555992141454,0.5483344980200326,0.1719001022345553,0.2617445933173959,0.5518880445582175
5,xgb_classifier_model_v2,0.6,0.12054713274270674,0.5378228782287823,0.12772016941726302,0.20642039419331995,0.5518880445582175
6,xgb_classifier_model_v2,0.62,0.08336731289617082,0.5015562472209871,0.08237184168248868,0.14150410838612557,0.5518880445582175
7,xgb_classifier_model_v2,0.64,0.05360121585053935,0.4702627939142462,0.04965678399298963,0.08982826948480845,0.5518880445582175
8,xgb_classifier_model_v2,0.66,0.03284279200800682,0.43792325056433407,0.02833357674894114,0.0532235939643347,0.5518880445582175
9,xgb_classifier_model_v2,0.68,0.016495533232012454,0.4966292134831461,0.01613845479772163,0.03126105099370535,0.5518880445582175
0,voting_classifier_v2,0.5,0.41665122141083144,0.5699288256227758,0.4677961150868994,0.5138365284350687,0.5521227125607875
1,voting_classifier_v2,0.52,0.32157022648923156,0.5763688760806917,0.36512341171315904,0.44704725289463093,0.5521227125607875
2,voting_classifier_v2,0.54,0.2467286948141009,0.5670072115384616,0.27559515116109246,0.37090909090909097,0.5521227125607875
3,voting_classifier_v2,0.56,0.19383178262964748,0.5597628609676802,0.21374324521688332,0.3093589811340696,0.5521227125607875
4,voting_classifier_v2,0.58,0.14456759461763724,0.5533333333333333,0.15758726449539945,0.24531090144367398,0.5521227125607875
5,voting_classifier_v2,0.6,0.09867665048003856,0.5386927122464312,0.10471739447933401,0.17534849596478355,0.5521227125607875
6,voting_classifier_v2,0.62,0.06045890944137599,0.5229920294297977,0.06229005403826493,0.11132137030995105,0.5521227125607875
7,voting_classifier_v2,0.64,0.03221262556992994,0.5155350978135789,0.032715057689499054,0.06152578452241984,0.5521227125607875
8,voting_classifier_v2,0.66,0.015346406197872262,0.533816425120773,0.01613845479772163,0.03132974199036008,0.5521227125607875
9,voting_classifier_v2,0.68,0.005819772398710012,0.535031847133758,0.006134073316781072,0.012129088152479966,0.5521227125607875
